ID,pros_negative%,pros_nuetral%,pros_positive%,cons_negative%,cons_nuetral%,cons_positive%,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
207146,0.008807678,0.1075302,0.8836621,0.84031624,0.14325401,0.016429707,Deloitte,44148, Wirtschaftspr&uuml; er,"Former Employee, more than 1 year","München, Bavaria, Bavaria",2,1.0,2.0,2.0,4.0,5.0,3.0,x,r,v,not that good as i tho,"safe
good money
good at cv
big office 
great benefits","over working hours
not a good managing
no promotion
traveling a lot
bad organozation"
190604,0.0036336193,0.07987983,0.91648656,0.00266588,0.04504183,0.9522923,Deloitte,43139, Anonymous Employee,Former Employee,,5,5.0,5.0,,5.0,4.0,5.0,v,v,v,data analyst,Good work and learning evniroment,"No Cons, the opportunities for growth are good"
206771,0.0014949254,0.064001985,0.9345031,0.8846183,0.10685393,0.008527788,Deloitte,44139, Analyst,Former Employee,"Edinburgh, Scotland, Scotland",2,1.0,3.0,3.0,5.0,3.0,3.0,v,x,v,Good depending how much you are willing to put up with and willing to work a lot of overtime,Good place for networking both with domestic offices and globally.,poor work life balance and pay not great compared to industry
180706,0.019245552,0.48427385,0.4964806,0.044015694,0.78595996,0.17002429,Deloitte,42282, ERS Senior Consultant,"Current Employee, more than 1 year","Richmond, VA",4,2.0,3.0,,4.0,3.0,3.0,o,o,o,Good company,You get a lot out if you're willing to put a lot in.,Make sure you (and your family) are prepared for the travel.
180779,0.0029268588,0.03543699,0.9616362,0.83844215,0.1535135,0.008044241,Deloitte,42289, Anonymous Employee,Current Employee,,3,4.0,3.0,,3.0,4.0,2.0,v,o,r,Politics,"Great people, friendly environment, global company",Upper management has no ethics
174696,0.027527088,0.60818225,0.36429065,0.007369234,0.15932012,0.8333106,Deloitte,41292, Life Sciences Consultant,"Current Employee, more than 1 year","Los Angeles, CA",4,3.0,3.0,,4.0,4.0,4.0,o,o,v,Deloitte is the best consulting firm to work for... IF you can get in,"The list goes on and on: salary, prestige, flexibility, diversity of projects....","There are no cons really, Deloitte is a premiere company to work for"
213262,0.0020173294,0.014047018,0.9839356,0.87710506,0.11550909,0.00738588,Deloitte,44258, Consultant,"Current Employee, more than 3 years","Gurgaon, Haryana, Haryana",5,2.0,3.0,5.0,5.0,5.0,5.0,v,r,v,Good,Salary is really very good,Negotiations is really very hard
182971,0.0028094482,0.10906379,0.8881268,0.845874,0.14145878,0.012667181,Deloitte,42482, Anonymous Employee,Current Employee,,4,,,,,,,o,o,o,Good place to learn,Well looked after if they like you. Beginning to create an innovative culture within Consulting,Bonuses are very poor. Still remains an old boys network which can be hard to break.
178873,0.0022362506,0.031510003,0.9662537,0.58796954,0.3675367,0.044493787,Deloitte,42112, ,Former Employee,,4,2.0,4.0,,4.0,4.0,4.0,x,r,v,Coordinator,Very professional. Provided training to succeed in job.  Career opportunities. Great group to work  with and hard-working. Colleagues are helpful with needed information.,Could do more about work / personal life balance.  Long working hours are expected. Some departments still work in silos unfortunately.
176467,0.0018711325,0.028243376,0.9698855,0.4930349,0.4402503,0.06671484,Deloitte,41718, ,Current Employee,,4,2.0,4.0,,4.0,4.0,3.0,v,o,o,A great place to start but limited growth opportunities,Deloitte hires smart people and demands excellence. It is a great place to learn and develop your skills.,"This is a top-down culture. If you don't want to be a partner, you will always be out of the inner-circle. Partners directly influence your flexibility, work-life and overall experience."
200939,0.008315543,0.15637062,0.8353139,0.8875144,0.10682751,0.005658025,Deloitte,43893, Business Technology Analyst,Former Employee,Mumbai,5,3.0,5.0,,5.0,5.0,5.0,o,o,o,Great place to work,Good exposure for a quality work,May become stressful if you are bad at balancing your work life and personal life
175840,0.0046168114,0.064258166,0.93112504,0.85718364,0.13058549,0.012230845,Deloitte,41588, Tax Senior,"Current Employee, more than 1 year","Camp Hill, PA",3,4.0,3.0,,3.0,3.0,3.0,v,r,r,The firm does pay relatively well. The quality of the engagements is good. The rating system is flawed.,"Relatively good pay.
Interesting engagements.
Great co-workers.","Flawed internal raining system. 
Not good opportunities for development by e.g. working on projects in other practice areas.
Too much stress on chargeable hours."
178011,0.0022779678,0.03980798,0.9579141,0.61361206,0.31504098,0.071347006,Deloitte,41983, ERS Senior Consultant,"Current Employee, more than 3 years","Detroit, MI",4,3.0,1.0,,3.0,4.0,4.0,o,o,o,"Intense, Rewarding, and Needs Diversity (Based out of Detroit)","If your good at your job following your 1 year point you'll do great, and will advance if you can make Sr.","- Hard doing the work-life balance
- Gets tiring doing so much work remotely
- Diss like feeling like a minority 
- Big engagement are never fun, but you seem to always get by"
208027,0.0070576956,0.13468276,0.8582595,0.93452215,0.061547235,0.0039306353,Deloitte,44172, Manager,"Former Employee, more than 5 years",Hong Kong,1,,1.0,1.0,4.0,4.0,3.0,x,r,r,no work life balance,"good career ladder
good package as long as you stay","As are not competent, cant help much
no work life balance"
199788,0.0022887748,0.051480923,0.9462303,0.040620726,0.781681,0.17769833,Deloitte,43814, Senior Research Associate,Former Employee,,4,,,,,,,o,o,o,Nice place,Good environment to work with,Work life balance is poir
178974,0.0010359483,0.020083515,0.9788806,0.70693076,0.25523126,0.037837908,Deloitte,42124, Tax Consultant II,"Current Employee, more than 1 year","Seattle, WA",2,1.0,3.0,,5.0,1.0,3.0,v,r,r,Not exactly what I was told during recruiting.,"Nice office, brand recognition, plenty of free alcohol, Deloitte University, young environment, opportunity to build your network and work with smart people.",Office is pretty cliquey. It often feels like you're back in high school. Comp seems to be less than other Big-4 and regional firms in the city.
217451,0.0018544059,0.15187745,0.8462682,0.6999964,0.27919582,0.02080778,Deloitte,44335, Manager,Current Employee,Hyderābād,5,2.0,5.0,5.0,5.0,5.0,5.0,v,v,v,.,Positive work culture at deloitte,.lack of work life balance
209276,0.0034608732,0.056522314,0.94001675,0.14634351,0.74651885,0.10713762,Deloitte,44206, Analyst,"Former Employee, more than 1 year","Los Angeles, CA",5,4.0,5.0,5.0,5.0,5.0,4.0,v,v,v,"Great perks, great people","- Opportunities to grow and advance
- Smart, talented people
- Easy to mentor and get mentored
- Good perks","=- training is minimal or Insufficient, learning is mostly self-directed"
210939,0.0017553727,0.044028334,0.9542163,0.35510275,0.60013723,0.044759985,Deloitte,44223, Staff Assistant,"Current Employee, more than 1 year",Kuala Lumpur,4,1.0,5.0,3.0,5.0,3.0,3.0,o,o,o,Not bad,"Good culture, good exposure and career opportunities","Long working hours, average salary"
173019,0.0022249303,0.025216179,0.97255886,0.44764668,0.49130502,0.061048273,Deloitte,40729, ,Current Employee,,5,5.0,,,5.0,5.0,5.0,v,v,o,Nice place,Great benefits for people working here.,"I have no problem with business trips. But if someone don't like travel a lot, it may be a problem."
209850,0.0027606476,0.024353461,0.97288585,0.7031878,0.28457505,0.012237139,Deloitte,44211, Anonymous Employee,Current Employee,,5,,,,,,,o,o,o,Nice,Really good company. Great exposure.,Only Salary at entry level is a con
