ID,pros_negative%,pros_nuetral%,pros_positive%,cons_negative%,cons_nuetral%,cons_positive%,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
250961,0.0040993206,0.0745285,0.9213722,0.93133575,0.06356752,0.0050967517,EY,43481, Executive,"Current Employee, less than 1 year",Chennai,3,1.0,3.0,,4.0,4.0,3.0,x,r,v,Good,Very good learning and exposure,Very bad work life balance
257003,0.0026712827,0.057967417,0.9393613,0.47693217,0.46300232,0.06006561,EY,44032, AML Compliance Analyst,"Former Employee, more than 1 year",Bangalore,5,4.0,5.0,,5.0,4.0,5.0,v,v,v,"Good Company to work at, helps gain knowledge and great peers","Good mentors, great top level management, good knowledge acquiring platform",Fails to recognize and reward efficient employees at times
247780,0.010733346,0.59604174,0.39322492,0.24276161,0.70748276,0.049755655,EY,43155, Senior Executive ,"Current Employee, less than 1 year",Chennai,4,3.0,4.0,,4.0,4.0,3.0,v,r,v,Good place to work with,"Professional, Knowledge sharing, two way feedback",Nothing to say as such
255442,0.0026439223,0.035223097,0.96213305,0.22851759,0.73203206,0.03945031,EY,43867, Senior Analyst,"Current Employee, more than 3 years","Gurgaon, Haryana, Haryana",3,3.0,1.0,,3.0,3.0,2.0,v,v,v,Very good learning experience,Brand name and package is good,No 360 degree feedback system
239514,0.04011213,0.6102613,0.34962663,0.5682168,0.39063862,0.041144554,EY,42252, ,Former Employee,,2,2.0,3.0,,2.0,,2.0,x,v,r,translator,"competitive salary, result-oriented, you can work from home","no work life balance, tight schedule"
258370,0.26287597,0.66093236,0.07619156,0.43709317,0.52237535,0.040531464,EY,44102, Senior Analyst,Current Employee,"Hoboken, NJ",2,,,,,,,o,o,o,Review,There are not really too many,Very long hours and politics
236773,0.0012948185,0.054310065,0.94439507,0.94672006,0.04883133,0.004448636,EY,41737, Manager,"Former Employee, more than 5 years",Seoul,4,2.0,4.0,,5.0,4.0,3.0,v,r,r,"Overall, good place to build your expertise","Personal growth, lots of opportunities to work globally",work-life balance is not good.
247033,0.0015610668,0.017333174,0.98110574,0.5713221,0.3769457,0.05173223,EY,43071, Anonymous Employee,Current Employee,,3,,,,,,,o,o,o,"Public Accounting - Good People, Bad Scheduling","- The people are great. Definitely learned a lot through ""learning experiences.""",=- poor scheduling. multiple busy seasons.
248282,0.002231385,0.092971794,0.9047968,0.86315274,0.12748738,0.009359835,EY,43208, Manager,"Current Employee, more than 8 years","London, England, England",4,1.0,4.0,,5.0,3.0,3.0,v,r,v,Good place to start and develop  career,"- Working with high caliber, talented, enthusiastic people
- Mobility opportunities (b/w service lines, georgaphic locations)
- Fast career growth
- Emormous learning opportunities","- Extremely demanding in terms of hours and stress
- Lots of politics and bureaucracy
- Pay levels are not in line with the amount of effort the job requires"
236068,0.007713584,0.07962454,0.9126619,0.06540761,0.84979445,0.08479789,EY,41514, Anonymous Employee,"Current Employee, more than 10 years","New York, NY",3,4.0,3.0,,3.0,2.0,2.0,v,r,r,Neutral,Great opportunities for new employees.  Get an opportunity for training if you have no experience.,Need to strength its current employe
