ID,pros_negative%,pros_nuetral%,pros_positive%,cons_negative%,cons_nuetral%,cons_positive%,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
461372,0.016142203,0.7798513,0.20400654,0.54297286,0.40639573,0.05063144,KPMG,43858, Audit Associate,"Former Employee, more than 3 years",Muscat,4,,,,,,,o,o,o,Audit Professional,Multinational Firm with global presence.,Work Pressure is a lot. Pay scale is less compared to other Big 4.
451358,0.0016429635,0.026426205,0.97193086,0.0057521057,0.045289755,0.94895816,KPMG,42446, ,Current Employee,"Chicago, IL",5,4.0,4.0,,4.0,4.0,4.0,v,v,v,Great place to work,Great programs to assist working mothers manage work/life balance.  Good benefits across the board.,"No comments. Plus and minuses at all companies. Overall, great place to work."
467728,0.0013161979,0.02204074,0.9766431,0.053751774,0.70668286,0.23956537,KPMG,44253, Senior Associate,"Current Employee, more than 1 year","Washington, DC",4,3.0,4.0,4.0,4.0,4.0,3.0,o,o,o,Good Benefits with Flexibility and Occasionally Long Hours,"Benefits and flexibility, especially during COVID, has been good.",Utilization matters although you are expected to support business development above and beyond the 40 hour work week. This can sometimes manifest as a week or so of around-the-clock work.
465088,0.0023074753,0.041492123,0.95620036,0.36870927,0.5874979,0.04379279,KPMG,44170, Associate Director,Current Employee,Brisbane,5,4.0,5.0,5.0,4.0,4.0,5.0,v,o,v,Great people and good experience,Great people to work with and socialise,May not always end up with the type of work you’re wanting
468757,0.0045567323,0.10264812,0.8927952,0.83652705,0.15083022,0.012642763,KPMG,44286, Experienced Audit Associate,"Current Employee, more than 1 year","Dublin, Dublin",3,2.0,5.0,5.0,5.0,4.0,4.0,v,r,v,KPMG,"Lots of PTO and time off
Good learning experience and strong resume builder","Poor work life balance
Extremely demanding"
455259,0.004728165,0.10638639,0.8888854,0.032416068,0.86587477,0.10170916,KPMG,43040, Anonymous Employee,Current Employee,,5,5.0,5.0,,4.0,4.0,3.0,o,o,o,KPMG,"good work life balance
friendly people",short periods of high work volume
451604,0.03581807,0.61513436,0.3490476,0.027838025,0.76037806,0.21178389,KPMG,42486, Manager,Current Employee,"Gurgaon, Haryana, Haryana",3,2.0,3.0,,3.0,2.0,2.0,v,o,v,Good place to work if you want to avoid travelling,"No travel
Average Salary levels
Good Management","Work life balance
KPO culture
Mostly Research job"
447438,0.0022688683,0.08835407,0.9093771,0.79087234,0.19048443,0.01864331,KPMG,41198, Analyst,"Current Employee, more than 1 year",Mumbai,4,2.0,5.0,,4.0,3.0,3.0,v,o,v,Professionally enriching.,"Exposure
Ability to build your personal network
Work with some of the best in the industry","Can be stagnating if you are not ambitious/a go getter
Long work hours - sometimes unreasonable
Pay is not the bet in the industry"
463698,0.004095466,0.055981208,0.93992335,0.49402508,0.46916974,0.036805183,KPMG,44103, Anonymous Employee,"Current Employee, more than 5 years",Hyderābād,4,,,,,,,o,o,o,Good organization to learn new things,Management is really supportive and work from home option,difficult to maintain work life balance
445849,0.0025798315,0.043728523,0.95369166,0.09061998,0.42828667,0.48109338,KPMG,39715, Advisory Associate,Current Employee,"Dallas, TX",5,5.0,,,5.0,4.0,5.0,v,r,o,Great place to start your career.,"25 Days Vacation
The relationship with upper management is really good.  You get feedback on a regular basis from many different  managers at different levels.  
The firm has an emphasis on work life balance.  They allow you to be flexible with work schedules as long as you still get your work finished. 
KPMG encourages and allows for rotations to different places around the world.  
KPMG also has many short term travel opportunities that you can encounter when working at all levels of the organization.","Longer work weeks than you will find in ""industry"", but the same as other big 4.
Sometimes you can look back and find that your month was crazy traveling all over the place, but it does not seem bad if you are ok with a changing environment."
