ID,pros_negative%,pros_nuetral%,pros_positive%,cons_negative%,cons_nuetral%,cons_positive%,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
679347,0.0016434683,0.028646694,0.9697099,0.8136162,0.1701537,0.016230028,PwC,42717, ,Former Employee,,3,2.0,3.0,,5.0,4.0,3.0,v,r,v,Annonymous,"Good pay, smart people, great training program. Opportunity to gain exposure to many different areas quickly. Clear cut path for growth.",Constant travel for some industries within Advisory as a nature of the business. Becomes exhausting over time and is one of the main reasons many folks in Advisory leave.
682454,0.09773646,0.8099207,0.092342846,0.4964087,0.4447195,0.058871824,PwC,43055, Anonymous Employee,"Former Employee, more than 1 year","Los Angeles, CA",3,2.0,4.0,,4.0,4.0,1.0,x,x,x,Senior Associate,"- Performance Management
- Employee benefits","- Growth opportunity
-  Work life balance
- Unrealistic expectation from employees
- HR has no authority to take actions on Partners/Directors who are in a position of power in the firm"
682150,0.0023533106,0.023129404,0.9745173,0.25792018,0.4908791,0.25120077,PwC,43027, AML Analyst,"Former Employee, more than 1 year",Gdańsk,3,3.0,3.0,,3.0,3.0,3.0,o,o,o,Ol,Good office. Nice people. Medium salary. Good place to learn. Very good place for students that just finished studies xonnected to business,Salary is below average. Try to make it bigger. Chaos sometines. Interview is riddiculuss sometines. Wish they had more benefits for workers
690164,0.0054130564,0.20337532,0.79121166,0.41499728,0.5394782,0.04552456,PwC,43845, Business Development Associate,"Current Employee, more than 1 year","London, England, England",5,,,,,,,o,o,o,"Great working culture, benefits, and vision",Working with hardworking and motivated teams,"Bureaucracy, slow to adapt, but this is common with the Big Four"
688792,0.0014572327,0.03545009,0.96309274,0.7198835,0.26081175,0.019304715,PwC,43713, Analyst,"Former Employee, more than 3 years",Hyderābād,5,3.0,5.0,,4.0,4.0,5.0,v,v,v,Great place to work! Immense focus on technology for an accounting firm.,"Great work environment, flexibility initiatives, competitive pay packages, the firm's investment in technology and people development.","Long hours and tight deadlines, understaffed at times."
694466,0.0072825975,0.32340625,0.66931117,0.031537097,0.4358433,0.53261966,PwC,44144, Senior Associate,Current Employee,"New York, NY",4,3.0,5.0,5.0,5.0,3.0,5.0,v,v,v,Great place to start career,"Opportunity to collaborate in a team based environment, engage with clients and take on responsibility.",Constant grind and long hours. Expected to always do more.
680898,0.0028727408,0.061748847,0.9353784,0.2588757,0.5725872,0.16853711,PwC,42890, Senior Consultant,Current Employee,Mumbai,3,4.0,3.0,,4.0,3.0,4.0,v,r,v,Consulting - S & O,"Good exposure to consulting, good place to be in at the beginning of your career. If you have a good people manager then you can be rotated across some good quality projects which would work well for you. Promotions are typically done every 2 years or so.",Revenue oriented organization so you will get a mix of good projects & bad projects. They do not hire consistently across good campuses - so if there is requirement of 10 people they will hire 2-3 people from good campuses while the rest would be from Tier 2/3 colleges
676022,0.052496538,0.6303809,0.31712255,0.00976967,0.5520925,0.43813783,PwC,42327, Anonymous Employee,"Former Employee, more than 10 years",,4,2.0,5.0,,5.0,3.0,3.0,v,o,r,HIgh performing culture,People focused. Really trying to change the way the public accounting profession functions on a person by person basis. There is no one career path. It is a fluid and dynamic environment,"Because of this fluidity in career path, employees in smaller markets have to be willing to relocate to larger more dynamic markets to have their career options continue to stay open."
694275,0.0076931412,0.39008352,0.6022233,0.4366303,0.52524436,0.03812536,PwC,44136, Product Manager,Former Employee,Johannesburg,3,,,,,,,o,o,o,No comment,Large Learning opportunities Is extensive,Not specialised in this area
690715,0.02269804,0.69689983,0.28040212,0.84318364,0.14566803,0.01114837,PwC,43896, Associate,Current Employee,"Columbia, SC",4,,,,,,,o,o,o,Professional,"Professional, chances to work with all kinds of clients","Work overtime, bad work life balance"
693769,0.0077175517,0.26390323,0.72837925,0.50872093,0.42729485,0.06398427,PwC,44117, Associate,Current Employee,"Chicago, IL",5,,,,,,,o,o,o,Big 4,"A lot of experience, a lot learning opportunities","Busy hours, hard to even us PTO"
669699,0.0012951859,0.009174116,0.9895307,0.028033858,0.2618963,0.71006984,PwC,40314, Pwc,Former Employee,,4,5.0,,,4.0,3.0,5.0,v,v,o,Great Place to Work,Managers are great! The resources available to the staff are beyond compare. Working here will open many doors for you in the future.,The long hours. Tax season can be grueling but we're all adults and  know what we've signed up for. It'll be worth it in the long run.
700468,0.012799784,0.49910313,0.48809707,0.33348328,0.63537365,0.031143084,PwC,44307, Senior Associate,Current Employee,Seoul,3,,,,,,,o,o,o,Mediocre,Work life balance is reasonable for a consulting firm,Hierarchical structure is very strict compared to other consulting firms in korea
691240,0.016762776,0.28976873,0.6934685,0.26096147,0.63619626,0.10284219,PwC,43959, Audit Staff Accountant,Former Employee,"João Pessoa, Paraíba, Paraíba",5,,,,,,,o,o,o,Cares for employees,High salary for deserving employees,"Sometimes, there is no work and life balance"
